Cas;Tmax intrados;Tmax suspente;Tmax cable
ISO834_F1_H10;1046,3;1045,6;1024,6
ISO834_F1_H12;1046,3;1045,6;1024,6
ISO834_F1_H15;1046,3;1045,6;1024,6
ISO834_F2_H10;1046,3;1045,6;1024,6
ISO834_F2_H12;1046,3;1045,6;1024,6
ISO834_F2_H15;1046,3;1045,6;1024,6
ISO834_F3_H10;1046,3;1045,6;720,3
ISO834_F3_H12;1046,3;1045,6;1024,6
ISO834_F3_H15;1046,3;1045,6;1024,6
CEREMA_EXT_F1_H10;680,0;680,0;647,7
CEREMA_EXT_F1_H12;680,0;680,0;647,7
CEREMA_EXT_F1_H15;680,0;680,0;647,7
CEREMA_EXT_F2_H10;680,0;680,0;647,7
CEREMA_EXT_F2_H12;680,0;680,0;647,7
CEREMA_EXT_F2_H15;680,0;680,0;647,7
CEREMA_EXT_F3_H10;680,0;680,0;403,4
CEREMA_EXT_F3_H12;680,0;680,0;647,7
CEREMA_EXT_F3_H15;680,0;680,0;647,7
